,model,dataset,question_id,answer_index
153,Meta-Llama-3.1-8B-Instruct,crass,154,0
154,Meta-Llama-3.1-8B-Instruct,crass,155,0
155,Meta-Llama-3.1-8B-Instruct,crass,156,0
156,Meta-Llama-3.1-8B-Instruct,crass,157,0
157,Meta-Llama-3.1-8B-Instruct,crass,158,2
158,Meta-Llama-3.1-8B-Instruct,crass,159,2
159,Meta-Llama-3.1-8B-Instruct,crass,160,2
160,Meta-Llama-3.1-8B-Instruct,crass,161,0
161,Meta-Llama-3.1-8B-Instruct,crass,162,0
162,Meta-Llama-3.1-8B-Instruct,crass,163,0
163,Meta-Llama-3.1-8B-Instruct,crass,164,0
164,Meta-Llama-3.1-8B-Instruct,crass,165,0
165,Meta-Llama-3.1-8B-Instruct,crass,166,0
166,Meta-Llama-3.1-8B-Instruct,crass,167,0
167,Meta-Llama-3.1-8B-Instruct,crass,168,1
168,Meta-Llama-3.1-8B-Instruct,crass,169,0
169,Meta-Llama-3.1-8B-Instruct,crass,170,0
170,Meta-Llama-3.1-8B-Instruct,crass,171,0
171,Meta-Llama-3.1-8B-Instruct,crass,172,2
172,Meta-Llama-3.1-8B-Instruct,crass,173,0
173,Meta-Llama-3.1-8B-Instruct,crass,174,0
174,Meta-Llama-3.1-8B-Instruct,crass,175,0
175,Meta-Llama-3.1-8B-Instruct,crass,176,0
176,Meta-Llama-3.1-8B-Instruct,crass,177,1
177,Meta-Llama-3.1-8B-Instruct,crass,178,0
178,Meta-Llama-3.1-8B-Instruct,crass,179,0
179,Meta-Llama-3.1-8B-Instruct,crass,180,0
180,Meta-Llama-3.1-8B-Instruct,crass,181,0
181,Meta-Llama-3.1-8B-Instruct,crass,182,0
182,Meta-Llama-3.1-8B-Instruct,crass,183,0
183,Meta-Llama-3.1-8B-Instruct,crass,184,0
184,Meta-Llama-3.1-8B-Instruct,crass,185,3
185,Meta-Llama-3.1-8B-Instruct,crass,186,0
186,Meta-Llama-3.1-8B-Instruct,crass,187,0
187,Meta-Llama-3.1-8B-Instruct,crass,188,1
188,Meta-Llama-3.1-8B-Instruct,crass,189,2
189,Meta-Llama-3.1-8B-Instruct,crass,190,0
190,Meta-Llama-3.1-8B-Instruct,crass,191,0
191,Meta-Llama-3.1-8B-Instruct,crass,192,3
192,Meta-Llama-3.1-8B-Instruct,crass,193,0
193,Meta-Llama-3.1-8B-Instruct,crass,194,0
194,Meta-Llama-3.1-8B-Instruct,crass,195,1
195,Meta-Llama-3.1-8B-Instruct,crass,196,0
196,Meta-Llama-3.1-8B-Instruct,crass,197,1
197,Meta-Llama-3.1-8B-Instruct,crass,198,0
198,Meta-Llama-3.1-8B-Instruct,crass,199,0
199,Meta-Llama-3.1-8B-Instruct,crass,200,0
200,Meta-Llama-3.1-8B-Instruct,crass,201,2
201,Meta-Llama-3.1-8B-Instruct,crass,202,0
202,Meta-Llama-3.1-8B-Instruct,crass,203,0
203,Meta-Llama-3.1-8B-Instruct,crass,204,0
204,Meta-Llama-3.1-8B-Instruct,crass,205,0
205,Meta-Llama-3.1-8B-Instruct,crass,206,0
206,Meta-Llama-3.1-8B-Instruct,crass,207,0
207,Meta-Llama-3.1-8B-Instruct,crass,208,0
208,Meta-Llama-3.1-8B-Instruct,crass,209,1
209,Meta-Llama-3.1-8B-Instruct,crass,210,0
210,Meta-Llama-3.1-8B-Instruct,crass,211,2
211,Meta-Llama-3.1-8B-Instruct,crass,212,0
212,Meta-Llama-3.1-8B-Instruct,crass,213,0
213,Meta-Llama-3.1-8B-Instruct,crass,214,0
214,Meta-Llama-3.1-8B-Instruct,crass,215,0
215,Meta-Llama-3.1-8B-Instruct,crass,216,0
216,Meta-Llama-3.1-8B-Instruct,crass,217,0
217,Meta-Llama-3.1-8B-Instruct,crass,218,0
218,Meta-Llama-3.1-8B-Instruct,crass,219,0
219,Meta-Llama-3.1-8B-Instruct,crass,220,0
220,Meta-Llama-3.1-8B-Instruct,crass,221,0
221,Meta-Llama-3.1-8B-Instruct,crass,222,0
222,Meta-Llama-3.1-8B-Instruct,crass,223,0
223,Meta-Llama-3.1-8B-Instruct,crass,224,0
224,Meta-Llama-3.1-8B-Instruct,crass,225,0
225,Meta-Llama-3.1-8B-Instruct,crass,226,0
226,Meta-Llama-3.1-8B-Instruct,crass,227,0
227,Meta-Llama-3.1-8B-Instruct,crass,228,0
228,Meta-Llama-3.1-8B-Instruct,crass,229,0
229,Meta-Llama-3.1-8B-Instruct,crass,230,0
230,Meta-Llama-3.1-8B-Instruct,crass,231,0
231,Meta-Llama-3.1-8B-Instruct,crass,232,0
232,Meta-Llama-3.1-8B-Instruct,crass,233,0
233,Meta-Llama-3.1-8B-Instruct,crass,234,0
234,Meta-Llama-3.1-8B-Instruct,crass,235,0
235,Meta-Llama-3.1-8B-Instruct,crass,236,0
236,Meta-Llama-3.1-8B-Instruct,crass,237,0
237,Meta-Llama-3.1-8B-Instruct,crass,238,0
238,Meta-Llama-3.1-8B-Instruct,crass,239,0
239,Meta-Llama-3.1-8B-Instruct,crass,240,1
240,Meta-Llama-3.1-8B-Instruct,crass,241,0
241,Meta-Llama-3.1-8B-Instruct,crass,242,0
242,Meta-Llama-3.1-8B-Instruct,crass,243,0
243,Meta-Llama-3.1-8B-Instruct,crass,244,0
244,Meta-Llama-3.1-8B-Instruct,crass,245,0
245,Meta-Llama-3.1-8B-Instruct,crass,246,0
246,Meta-Llama-3.1-8B-Instruct,crass,247,1
247,Meta-Llama-3.1-8B-Instruct,crass,248,0
248,Meta-Llama-3.1-8B-Instruct,crass,249,0
249,Meta-Llama-3.1-8B-Instruct,crass,250,2
250,Meta-Llama-3.1-8B-Instruct,crass,251,0
251,Meta-Llama-3.1-8B-Instruct,crass,252,0
252,Meta-Llama-3.1-8B-Instruct,crass,253,0
253,Meta-Llama-3.1-8B-Instruct,crass,254,0
254,Meta-Llama-3.1-8B-Instruct,crass,255,0
255,Meta-Llama-3.1-8B-Instruct,crass,256,0
256,Meta-Llama-3.1-8B-Instruct,crass,257,0
257,Meta-Llama-3.1-8B-Instruct,crass,258,0
258,Meta-Llama-3.1-8B-Instruct,crass,259,2
259,Meta-Llama-3.1-8B-Instruct,crass,260,0
260,Meta-Llama-3.1-8B-Instruct,crass,261,0
261,Meta-Llama-3.1-8B-Instruct,crass,262,3
262,Meta-Llama-3.1-8B-Instruct,crass,263,0
263,Meta-Llama-3.1-8B-Instruct,crass,264,2
264,Meta-Llama-3.1-8B-Instruct,crass,265,0
265,Meta-Llama-3.1-8B-Instruct,crass,266,0
266,Meta-Llama-3.1-8B-Instruct,crass,267,0
267,Meta-Llama-3.1-8B-Instruct,crass,268,0
268,Meta-Llama-3.1-8B-Instruct,crass,269,0
269,Meta-Llama-3.1-8B-Instruct,crass,270,0
270,Meta-Llama-3.1-8B-Instruct,crass,271,0
271,Meta-Llama-3.1-8B-Instruct,crass,272,0
272,Meta-Llama-3.1-8B-Instruct,crass,273,0
273,gemma-2-2b-it,crass,0,0
274,gemma-2-2b-it,crass,1,0
275,gemma-2-2b-it,crass,2,1
276,gemma-2-2b-it,crass,3,2
277,gemma-2-2b-it,crass,4,1
278,gemma-2-2b-it,crass,5,1
279,gemma-2-2b-it,crass,6,2
280,gemma-2-2b-it,crass,7,0
281,gemma-2-2b-it,crass,8,2
282,gemma-2-2b-it,crass,9,2
283,gemma-2-2b-it,crass,10,2
284,gemma-2-2b-it,crass,11,1
285,gemma-2-2b-it,crass,12,0
286,gemma-2-2b-it,crass,13,1
287,gemma-2-2b-it,crass,14,2
288,gemma-2-2b-it,crass,15,2
289,gemma-2-2b-it,crass,16,1
290,gemma-2-2b-it,crass,17,2
291,gemma-2-2b-it,crass,18,1
292,gemma-2-2b-it,crass,19,1
293,gemma-2-2b-it,crass,20,3
294,gemma-2-2b-it,crass,21,3
295,gemma-2-2b-it,crass,22,1
296,gemma-2-2b-it,crass,23,1
297,gemma-2-2b-it,crass,24,1
298,gemma-2-2b-it,crass,25,2
299,gemma-2-2b-it,crass,26,0
300,gemma-2-2b-it,crass,27,0
301,gemma-2-2b-it,crass,28,0
302,gemma-2-2b-it,crass,29,0
303,gemma-2-2b-it,crass,30,0
304,gemma-2-2b-it,crass,31,3
305,gemma-2-2b-it,crass,32,0
306,gemma-2-2b-it,crass,33,0
307,gemma-2-2b-it,crass,34,1
308,gemma-2-2b-it,crass,35,2
309,gemma-2-2b-it,crass,36,0
310,gemma-2-2b-it,crass,37,0
311,gemma-2-2b-it,crass,38,0
312,gemma-2-2b-it,crass,39,1
313,gemma-2-2b-it,crass,40,0
314,gemma-2-2b-it,crass,41,2
315,gemma-2-2b-it,crass,42,0
316,gemma-2-2b-it,crass,43,0
317,gemma-2-2b-it,crass,44,1
318,gemma-2-2b-it,crass,45,0
319,gemma-2-2b-it,crass,46,3
320,gemma-2-2b-it,crass,47,0
321,gemma-2-2b-it,crass,48,0
322,gemma-2-2b-it,crass,49,3
323,gemma-2-2b-it,crass,50,2
324,gemma-2-2b-it,crass,51,1
325,gemma-2-2b-it,crass,52,3
326,gemma-2-2b-it,crass,53,0
327,gemma-2-2b-it,crass,54,2
328,gemma-2-2b-it,crass,55,0
329,gemma-2-2b-it,crass,56,0
330,gemma-2-2b-it,crass,57,1
331,gemma-2-2b-it,crass,58,1
332,gemma-2-2b-it,crass,59,3
333,gemma-2-2b-it,crass,60,1
334,gemma-2-2b-it,crass,61,1
335,gemma-2-2b-it,crass,62,0
336,gemma-2-2b-it,crass,63,1
337,gemma-2-2b-it,crass,64,0
338,gemma-2-2b-it,crass,65,0
339,gemma-2-2b-it,crass,66,1
340,gemma-2-2b-it,crass,67,0
341,gemma-2-2b-it,crass,68,2
342,gemma-2-2b-it,crass,69,1
343,gemma-2-2b-it,crass,70,0
344,gemma-2-2b-it,crass,71,2
345,gemma-2-2b-it,crass,72,1
346,gemma-2-2b-it,crass,73,2
347,gemma-2-2b-it,crass,74,1
348,gemma-2-2b-it,crass,75,1
349,gemma-2-2b-it,crass,76,0
350,gemma-2-2b-it,crass,77,2
351,gemma-2-2b-it,crass,78,0
352,gemma-2-2b-it,crass,79,2
353,gemma-2-2b-it,crass,80,0
354,gemma-2-2b-it,crass,81,1
355,gemma-2-2b-it,crass,82,1
356,gemma-2-2b-it,crass,83,2
357,gemma-2-2b-it,crass,84,2
358,gemma-2-2b-it,crass,85,0
359,gemma-2-2b-it,crass,86,2
360,gemma-2-2b-it,crass,87,2
361,gemma-2-2b-it,crass,88,0
362,gemma-2-2b-it,crass,89,0
363,gemma-2-2b-it,crass,90,2
364,gemma-2-2b-it,crass,91,2
365,gemma-2-2b-it,crass,92,2
366,gemma-2-2b-it,crass,93,1
367,gemma-2-2b-it,crass,94,2
368,gemma-2-2b-it,crass,95,1
369,gemma-2-2b-it,crass,96,1
370,gemma-2-2b-it,crass,97,0
371,gemma-2-2b-it,crass,98,0
372,gemma-2-2b-it,crass,99,1
373,gemma-2-2b-it,crass,100,0
374,gemma-2-2b-it,crass,101,2
375,gemma-2-2b-it,crass,102,0
376,gemma-2-2b-it,crass,103,2
377,gemma-2-2b-it,crass,104,2
378,gemma-2-2b-it,crass,105,2
379,gemma-2-2b-it,crass,106,0
380,gemma-2-2b-it,crass,107,1
381,gemma-2-2b-it,crass,108,2
382,gemma-2-2b-it,crass,109,2
383,gemma-2-2b-it,crass,110,1
384,gemma-2-2b-it,crass,111,2
385,gemma-2-2b-it,crass,112,2
386,gemma-2-2b-it,crass,114,0
387,gemma-2-2b-it,crass,115,0
388,gemma-2-2b-it,crass,116,1
389,gemma-2-2b-it,crass,117,2
390,gemma-2-2b-it,crass,118,2
391,gemma-2-2b-it,crass,119,1
392,gemma-2-2b-it,crass,120,2
393,gemma-2-2b-it,crass,121,1
394,gemma-2-2b-it,crass,122,1
395,gemma-2-2b-it,crass,123,1
396,gemma-2-2b-it,crass,124,2
397,gemma-2-2b-it,crass,125,1
398,gemma-2-2b-it,crass,126,2
399,gemma-2-2b-it,crass,127,1
400,gemma-2-2b-it,crass,128,2
401,gemma-2-2b-it,crass,129,2
402,gemma-2-2b-it,crass,130,2
403,gemma-2-2b-it,crass,131,2
404,gemma-2-2b-it,crass,132,2
405,gemma-2-2b-it,crass,133,0
406,gemma-2-2b-it,crass,134,0
407,gemma-2-2b-it,crass,135,0
408,gemma-2-2b-it,crass,136,2
409,gemma-2-2b-it,crass,137,2
410,gemma-2-2b-it,crass,138,1
411,gemma-2-2b-it,crass,139,1
412,gemma-2-2b-it,crass,140,0
413,gemma-2-2b-it,crass,141,1
414,gemma-2-2b-it,crass,142,2
415,gemma-2-2b-it,crass,143,0
416,gemma-2-2b-it,crass,144,2
417,gemma-2-2b-it,crass,145,1
418,gemma-2-2b-it,crass,146,1
419,gemma-2-2b-it,crass,147,2
420,gemma-2-2b-it,crass,148,1
421,gemma-2-2b-it,crass,149,2
422,gemma-2-2b-it,crass,150,0
423,gemma-2-2b-it,crass,151,1
424,gemma-2-2b-it,crass,152,0
425,gemma-2-2b-it,crass,153,1
426,gemma-2-2b-it,crass,154,2
427,gemma-2-2b-it,crass,155,1
428,gemma-2-2b-it,crass,156,0
429,gemma-2-2b-it,crass,157,0
430,gemma-2-2b-it,crass,158,2
431,gemma-2-2b-it,crass,159,0
432,gemma-2-2b-it,crass,160,1
433,gemma-2-2b-it,crass,161,2
434,gemma-2-2b-it,crass,162,0
435,gemma-2-2b-it,crass,163,2
436,gemma-2-2b-it,crass,164,0
437,gemma-2-2b-it,crass,165,1
438,gemma-2-2b-it,crass,166,2
439,gemma-2-2b-it,crass,167,1
440,gemma-2-2b-it,crass,168,1
441,gemma-2-2b-it,crass,169,0
442,gemma-2-2b-it,crass,170,1
443,gemma-2-2b-it,crass,171,1
444,gemma-2-2b-it,crass,172,1
445,gemma-2-2b-it,crass,173,2
446,gemma-2-2b-it,crass,174,2
447,gemma-2-2b-it,crass,175,1
448,gemma-2-2b-it,crass,176,2
449,gemma-2-2b-it,crass,177,0
450,gemma-2-2b-it,crass,178,0
451,gemma-2-2b-it,crass,179,0
452,gemma-2-2b-it,crass,180,1
453,gemma-2-2b-it,crass,181,2
454,gemma-2-2b-it,crass,182,0
455,gemma-2-2b-it,crass,183,1
456,gemma-2-2b-it,crass,184,0
457,gemma-2-2b-it,crass,185,1
458,gemma-2-2b-it,crass,186,2
459,gemma-2-2b-it,crass,187,2
460,gemma-2-2b-it,crass,188,1
461,gemma-2-2b-it,crass,189,2
462,gemma-2-2b-it,crass,190,0
463,gemma-2-2b-it,crass,191,0
464,gemma-2-2b-it,crass,192,0
465,gemma-2-2b-it,crass,193,2
466,gemma-2-2b-it,crass,194,2
467,gemma-2-2b-it,crass,195,1
468,gemma-2-2b-it,crass,196,2
469,gemma-2-2b-it,crass,197,0
470,gemma-2-2b-it,crass,198,1
471,gemma-2-2b-it,crass,199,2
472,gemma-2-2b-it,crass,200,1
473,gemma-2-2b-it,crass,201,1
474,gemma-2-2b-it,crass,202,2
475,gemma-2-2b-it,crass,203,1
476,gemma-2-2b-it,crass,204,2
477,gemma-2-2b-it,crass,205,0
478,gemma-2-2b-it,crass,206,1
479,gemma-2-2b-it,crass,207,2
480,gemma-2-2b-it,crass,208,1
481,gemma-2-2b-it,crass,209,1
482,gemma-2-2b-it,crass,210,1
483,gemma-2-2b-it,crass,211,1
484,gemma-2-2b-it,crass,212,0
485,gemma-2-2b-it,crass,213,1
486,gemma-2-2b-it,crass,214,1
487,gemma-2-2b-it,crass,215,2
488,gemma-2-2b-it,crass,216,2
489,gemma-2-2b-it,crass,217,0
490,gemma-2-2b-it,crass,218,1
491,gemma-2-2b-it,crass,219,0
492,gemma-2-2b-it,crass,220,1
493,gemma-2-2b-it,crass,221,2
494,gemma-2-2b-it,crass,222,1
495,gemma-2-2b-it,crass,223,2
496,gemma-2-2b-it,crass,224,2
497,gemma-2-2b-it,crass,225,2
498,gemma-2-2b-it,crass,226,1
499,gemma-2-2b-it,crass,227,2
500,gemma-2-2b-it,crass,228,1
501,gemma-2-2b-it,crass,229,0
502,gemma-2-2b-it,crass,230,2
503,gemma-2-2b-it,crass,231,2
504,gemma-2-2b-it,crass,232,2
505,gemma-2-2b-it,crass,233,1
506,gemma-2-2b-it,crass,234,2
507,gemma-2-2b-it,crass,235,2
508,gemma-2-2b-it,crass,236,2
509,gemma-2-2b-it,crass,237,1
510,gemma-2-2b-it,crass,238,0
511,gemma-2-2b-it,crass,239,1
512,gemma-2-2b-it,crass,240,1
513,gemma-2-2b-it,crass,241,1
514,gemma-2-2b-it,crass,242,2
515,gemma-2-2b-it,crass,243,1
516,gemma-2-2b-it,crass,244,2
517,gemma-2-2b-it,crass,245,2
518,gemma-2-2b-it,crass,246,1
519,gemma-2-2b-it,crass,247,1
520,gemma-2-2b-it,crass,248,2
521,gemma-2-2b-it,crass,249,2
522,gemma-2-2b-it,crass,250,2
523,gemma-2-2b-it,crass,251,1
524,gemma-2-2b-it,crass,252,0
525,gemma-2-2b-it,crass,253,0
526,gemma-2-2b-it,crass,254,2
527,gemma-2-2b-it,crass,255,0
528,gemma-2-2b-it,crass,256,2
529,gemma-2-2b-it,crass,257,2
530,gemma-2-2b-it,crass,258,2
531,gemma-2-2b-it,crass,259,1
532,gemma-2-2b-it,crass,260,2
533,gemma-2-2b-it,crass,261,1
534,gemma-2-2b-it,crass,262,0
535,gemma-2-2b-it,crass,263,1
536,gemma-2-2b-it,crass,264,1
537,gemma-2-2b-it,crass,265,1
538,gemma-2-2b-it,crass,266,1
539,gemma-2-2b-it,crass,267,0
540,gemma-2-2b-it,crass,268,2
541,gemma-2-2b-it,crass,269,2
542,gemma-2-2b-it,crass,270,1
543,gemma-2-2b-it,crass,271,1
544,gemma-2-2b-it,crass,272,2
545,gemma-2-2b-it,crass,273,0
546,Qwen2-VL-2B-Instruct,crass,0,0
547,Qwen2-VL-2B-Instruct,crass,1,0
548,Qwen2-VL-2B-Instruct,crass,2,0
549,Qwen2-VL-2B-Instruct,crass,3,2
550,Qwen2-VL-2B-Instruct,crass,4,1
551,Qwen2-VL-2B-Instruct,crass,5,1
552,Qwen2-VL-2B-Instruct,crass,6,3
553,Qwen2-VL-2B-Instruct,crass,7,1
554,Qwen2-VL-2B-Instruct,crass,8,1
555,Qwen2-VL-2B-Instruct,crass,9,0
556,Qwen2-VL-2B-Instruct,crass,10,2
557,Qwen2-VL-2B-Instruct,crass,11,0
558,Qwen2-VL-2B-Instruct,crass,12,0
559,Qwen2-VL-2B-Instruct,crass,13,0
560,Qwen2-VL-2B-Instruct,crass,14,0
561,Qwen2-VL-2B-Instruct,crass,15,0
562,Qwen2-VL-2B-Instruct,crass,16,0
563,Qwen2-VL-2B-Instruct,crass,17,0
564,Qwen2-VL-2B-Instruct,crass,18,3
565,Qwen2-VL-2B-Instruct,crass,19,0
566,Qwen2-VL-2B-Instruct,crass,20,1
567,Qwen2-VL-2B-Instruct,crass,21,1
